Event/Description,EstMH (All),Interval,MH_j,max_interval
HE32-313000-01-1 (R0005) / READ CENTRALIZED FAULT DISPLAY SYSTEM (CFDS) FOR CLASS 3 FAULTS,0 days 00:18:00,1'000,0.3,200
HE32-324411-01-1 (R0004) / FUNCTIONAL CHECK OF PARKING/EMERGENCY BRAKE ACCUMULATOR BY READING THE CHARGE PRESSURE ON THE,0 days 00:46:00,1'000,0.7666666666666667,200
EO-PW-72-0193/TUBE ASSEMBLY; OIL; NO. 4 BEARING(LR111); SCAVENGE - EXAMINE THE NO. 4,0 days 02:10:00,1'000,2.1666666666666665,200
HE32-281100-02-1 (R0003) / OPERATIONAL CHECK OF LEAK MONITOR FOR EVIDENCE OF FUEL LEAKAGE AND CORRECT CLOSURE OF THE VAL,0 days 00:30:00,1'000,0.5,200
HE32-291000-01-1 (R0003) / CHECK OF THE FLUID LEVEL ON RESERVOIR INDICATORS,0 days 00:44:00,1'000,0.7333333333333333,200
HE32-323000-01-1 (R0002) / VISUAL CHECK OF NLG AND MLG DOWNLOCK SPRINGS AND ATTACHMENTS,0 days 00:24:00,1'000,0.4,200
HE32-323000-19-1 (R0003) / GENERAL VISUAL INSPECTION OF L/G EXTENSION/RETRACTION SYSTEM COMPONENTS,0 days 01:00:00,1'000,1.0,200
EO-PW-57686/WATER WASH FOR PW1100G ENGINES,0 days 06:00:00,1'500,6.0,200
EO-PW-57686/WATER WASH FOR PW1100G ENGINES,0 days 06:00:00,1'500,6.0,200
EO-PW-73-0020/REPETITIVE REPLACEMENT OF THE MAIN FUEL FILTER (PW1100G),0 days 04:00:00,1'700,4.0,200
HE32-242000-25-1 (R0001) / OPERATIONAL CHECK OF NETWORK RECONFIGURATION IN CASE OF SINGLE GENERATOR FAILURE,0 days 03:00:00,3'000,3.0,200
HE32-242100-17-1-01 (R0003) / TORQUE CHECK OF QAD TENSION BOLT OF NO.1 IDG,0 days 01:32:00,1'200,1.5333333333333332,200
HE32-242100-17-1-02 (R0003) / TORQUE CHECK OF QAD TENSION BOLT OF NO.2 IDG,0 days 01:32:00,1'200,1.5333333333333332,200
HE32-323000-01-1 (R0002) / VISUAL CHECK OF NLG AND MLG DOWNLOCK SPRINGS AND ATTACHMENTS,0 days 00:24:00,1'000,0.4,200
HE32-323000-19-1 (R0003) / GENERAL VISUAL INSPECTION OF L/G EXTENSION/RETRACTION SYSTEM COMPONENTS,0 days 01:00:00,1'000,1.0,200
EOI-72-0001/ANTI-IFSD KEY INSPECTION POINTS OF PW1100G ENGINE,0 days 04:00:00,1'500,4.0,200
EOCOM-72-0225/VISUAL INSPECTION OF FAN BLADE COVER TRANSITION AREA (PW1100G-JM),0 days 01:30:00,1'000,1.5,200
HE32-323000-26-1 (R0001) / LUBRICATE GEAR UPLOCK UNITS,0 days 00:18:00,121 D,0.3,200
REPLACE 3214-31/150763/W1634569 (EPSU BATTERY),0 days 01:30:00,,1.5,200
EOCOM-32-0324/DETAILED VISUAL INSPECTION OF NLG TORQUE LINK APEX PIN AND NUT,0 days 06:00:00,540 D,6.0,200
HE32-274000-02-1 (R0002) / OPERATIONAL CHECK OF THS ACTUATOR WITH INDIVIDUAL HYDRAULIC SYSTEMS,0 days 00:39:00,1'200,0.65,200
REPLACE 3214-31/150761/W1634566 (EPSU BATTERY),0 days 01:30:00,,1.5,200
REPLACE 3214-31/150765/W1634572 (EPSU BATTERY),0 days 01:30:00,,1.5,200
EOCOM-72-0225/VISUAL INSPECTION OF FAN BLADE COVER TRANSITION AREA (PW1100G-JM),0 days 01:30:00,1'000,1.5,200
HE32-242100-17-1-02 (R0003) / TORQUE CHECK OF QAD TENSION BOLT OF NO.2 IDG,0 days 01:32:00,1'200,1.5333333333333332,200
HE32-281100-02-1 (R0003) / OPERATIONAL CHECK OF LEAK MONITOR FOR EVIDENCE OF FUEL LEAKAGE AND CORRECT CLOSURE OF THE VAL,0 days 00:30:00,1'000,0.5,200
HE32-291000-01-1 (R0003) / CHECK OF THE FLUID LEVEL ON RESERVOIR INDICATORS,0 days 00:44:00,1'000,0.7333333333333333,200
EO-PW-57686/WATER WASH FOR PW1100G ENGINES,0 days 06:00:00,1'500,6.0,200
EO-PW-57686/WATER WASH FOR PW1100G ENGINES,0 days 06:00:00,1'500,6.0,200
HE32-25-SCME-080 (R0004) / INSPECTION OF COCKPIT AND CABIN,0 days 08:00:00,1'000,8.0,200
HE32-256241-01-1 (R0003) / CHECK OF THE DOOR / EMERGENCY EXIT / OFFWING ESCAPE SLIDE/RAFT INFLATION RESERVOIR PRESSURE,0 days 00:52:00,1'000,0.8666666666666667,200
HE32-274000-02-1 (R0002) / OPERATIONAL CHECK OF THS ACTUATOR WITH INDIVIDUAL HYDRAULIC SYSTEMS,0 days 00:39:00,1'200,0.65,200
EOI-72-0001/ANTI-IFSD KEY INSPECTION POINTS OF PW1100G ENGINE,0 days 04:00:00,1'500,4.0,200
HE32-25-SCME-070 (R0002) / INSPECTION OF LOOSE FLOTATION EQUIPMENT,0 days 00:20:00,120 D,0.3333333333333333,200
"HE32-255000-16-1 (R0004) / DETAILED INSPECTION OF DIVIDER NETS, DOOR NETS AND NET ATTACHMENT POINTS",0 days 00:42:00,1'000,0.7,200
HE32-281100-02-1 (R0003) / OPERATIONAL CHECK OF LEAK MONITOR FOR EVIDENCE OF FUEL LEAKAGE AND CORRECT CLOSURE OF THE VAL,0 days 00:30:00,1'000,0.5,200
HE32-291000-01-1 (R0003) / CHECK OF THE FLUID LEVEL ON RESERVOIR INDICATORS,0 days 00:44:00,1'000,0.7333333333333333,200
EO-PW-73-0020/REPETITIVE REPLACEMENT OF THE MAIN FUEL FILTER (PW1100G),0 days 04:00:00,1'700,4.0,200
HE32-274451-01-1 (R0003) / LUBRICATE THS ACTUATOR BALL SCREW NUT,0 days 00:58:00,1'600,0.9666666666666667,200
"HE32-291000-23-1 (R0001) / DETAILED INSPECTION OF THE PYLON / ENGINE INTERFACE ROD ENDS, ROD ATTACHMENT FITTINGS, INTERF",0 days 04:04:00,2'500,4.066666666666666,200
"HE32-291000-24-1 (R0001) / DETAILED INSPECTION OF THE PYLON / ENGINE INTERFACE ROD ENDS, ROD ATTACHMENT FITTINGS, INTERF",0 days 04:04:00,2'500,4.066666666666666,200
HE32-281100-05-1 (R0002) / GENERAL VISUAL INSPECTION OF FUEL TANKS FOR MINOR EXTERNAL LEAKS,0 days 00:24:00,182 D,0.4,200
HE32-281100-06-1 (R0002) / OPERATIONAL CHECK OF WATER DRAIN VALVES,0 days 00:44:00,182 D,0.7333333333333333,200
HE32-242100-17-1-02 (R0003) / TORQUE CHECK OF QAD TENSION BOLT OF NO.2 IDG,0 days 01:32:00,1'200,1.5333333333333332,200
HE32-25-SCME-180 (R0002) / CHECK OF CABIN LOOSE EQUIPMENT,0 days 05:18:00,120 D,5.3,200
"HE32-290000-05-1 (R0004) / CHECK CLOGGING INDICATORS ON RETURN, CASE DRAIN, GROUND SERVICING, HP DELIVERY, BLEED AIR, WA",0 days 02:54:00,2'000,2.9,200
HE32-323000-26-1 (R0001) / LUBRICATE GEAR UPLOCK UNITS,0 days 00:18:00,121 D,0.3,200
REPLACE 33600105-4/A3090D1/W282647 (ENGINE FIRE EXTINGUISHER),0 days 03:06:00,,3.1,200
REPLACE 33600105-4/A3091D1/W282646 (ENGINE FIRE EXTINGUISHER),0 days 03:06:00,,3.1,200
REPLACE 33600105-4/A3094D1/W282648 (ENGINE FIRE EXTINGUISHER),0 days 03:06:00,,3.1,200
REPLACE 3552AAADAACXCD/P16053077 (CYLINDER ASSY-OXYGEN PORTABLE),0 days 00:24:00,,0.4,200
HE32-25-SCME-180 (R0002) / CHECK OF CABIN LOOSE EQUIPMENT,0 days 05:18:00,120 D,5.3,200
HE32-276400-01-1-02 (R0003) / LUBRICATE SPOILER NO 1 TO 5 ACTUATOR ATTACHMENTS - RH,0 days 02:24:00,2'000,2.4,200
HE32-281200-01-1-01 (R0003) / VISUAL CHECK OF LH VENT SURGE TANK BURST DISC (EXTERNAL),0 days 00:36:00,2'000,0.6,200
HE32-281200-01-1-02 (R0003) / VISUAL CHECK OF RH VENT SURGE TANK BURST DISC (EXTERNAL),0 days 00:36:00,2'000,0.6,200
EO-PW-57686/WATER WASH FOR PW1100G ENGINES,0 days 06:00:00,1'500,6.0,200
EO-PW-57686/WATER WASH FOR PW1100G ENGINES,0 days 06:00:00,1'500,6.0,200
EO-PW-72-0152/INSPECTION OF THE AIR SEALASSEMBLIES THROUGH THE MAIN GEARBOXHOUSING B,0 days 04:00:00,1'875,4.0,200
HE32-25-SCME-070 (R0002) / INSPECTION OF LOOSE FLOTATION EQUIPMENT,0 days 00:20:00,120 D,0.3333333333333333,200
HE32-274000-02-1 (R0002) / OPERATIONAL CHECK OF THS ACTUATOR WITH INDIVIDUAL HYDRAULIC SYSTEMS,0 days 00:39:00,1'200,0.65,200
HE32-276400-01-1-02 (R0003) / LUBRICATE SPOILER NO 1 TO 5 ACTUATOR ATTACHMENTS - RH,0 days 02:24:00,2'000,2.4,200
HE32-281200-01-1-01 (R0003) / VISUAL CHECK OF LH VENT SURGE TANK BURST DISC (EXTERNAL),0 days 00:36:00,2'000,0.6,200
HE32-281200-01-1-02 (R0003) / VISUAL CHECK OF RH VENT SURGE TANK BURST DISC (EXTERNAL),0 days 00:36:00,2'000,0.6,200
HE32-321000-01-1-01 (R0002) / LUBRICATE LH MAIN LANDING GEAR AND DOOR,0 days 05:09:00,121 D,5.15,200
HE32-321000-01-1-02 (R0002) / LUBRICATE RH MAIN LANDING GEAR AND DOOR,0 days 05:09:00,121 D,5.15,200
HE32-322000-01-1 (R0002) / LUBRICATE NOSE LANDING GEAR AND DOORS,0 days 02:06:00,121 D,2.1,200
REPLACE 3214-31/150758/W1634575 (EPSU BATTERY),0 days 01:30:00,,1.5,200
EOI-72-0001/ANTI-IFSD KEY INSPECTION POINTS OF PW1100G ENGINE,0 days 04:00:00,1'500,4.0,200
EO-PW-57686/WATER WASH FOR PW1100G ENGINES,0 days 06:00:00,1'500,6.0,200
HE32-242100-17-1-01 (R0003) / TORQUE CHECK OF QAD TENSION BOLT OF NO.1 IDG,0 days 01:32:00,1'200,1.5333333333333332,200
HE32-274451-01-1 (R0003) / LUBRICATE THS ACTUATOR BALL SCREW NUT,0 days 00:58:00,1'600,0.9666666666666667,200
HE32-291000-18-1 (R0003) / DRAIN THE RECOVERY TANK,0 days 01:06:00,1'500,1.1,200
REPLACE 3214-31/151419 (EPSU BATTERY),0 days 01:30:00,,1.5,200
HE32-274000-02-1 (R0002) / OPERATIONAL CHECK OF THS ACTUATOR WITH INDIVIDUAL HYDRAULIC SYSTEMS,0 days 00:39:00,1'200,0.65,200
REPLACE 33600105-4/A3587D1/W282820 (ENGINE FIRE EXTINGUISHER),0 days 03:06:00,,3.1,200
REPLACE 416526/202306662 (BATTERY),0 days 02:06:00,,2.1,200
"HE32-253400-01-1 (R0004) / CLEAN ""CHILLED AIR IN"" AND ""CHILLED AIR OUT"" GRILLES/FILTERS IN GALLEY CABINET",0 days 00:35:00,1'500,0.5833333333333334,200
HE32-253400-02-1 (R0003) / CLEAN AIR CHILLER CONDENSER AIR FILTER,0 days 00:12:00,1'500,0.2,200
HE32-321000-01-1-01 (R0002) / LUBRICATE LH MAIN LANDING GEAR AND DOOR,0 days 05:09:00,121 D,5.15,200
HE32-321000-01-1-02 (R0002) / LUBRICATE RH MAIN LANDING GEAR AND DOOR,0 days 05:09:00,121 D,5.15,200
HE32-322000-01-1 (R0002) / LUBRICATE NOSE LANDING GEAR AND DOORS,0 days 02:06:00,121 D,2.1,200
HE32-323000-26-1 (R0001) / LUBRICATE GEAR UPLOCK UNITS,0 days 00:18:00,121 D,0.3,200
HE32-291000-05-1 (R0003) / DRAIN THE WATER SEPARATOR,0 days 00:40:00,2'250,0.6666666666666666,200
REPLACE 3214-31/151572 (EPSU BATTERY),0 days 01:30:00,,1.5,200
EOI-72-0001/ANTI-IFSD KEY INSPECTION POINTS OF PW1100G ENGINE,0 days 04:00:00,1'500,4.0,200
HE32-274451-01-1 (R0003) / LUBRICATE THS ACTUATOR BALL SCREW NUT,0 days 00:58:00,1'600,0.9666666666666667,200
HE32-321000-01-1-01 (R0002) / LUBRICATE LH MAIN LANDING GEAR AND DOOR,0 days 05:09:00,121 D,5.15,200
HE32-321000-01-1-02 (R0002) / LUBRICATE RH MAIN LANDING GEAR AND DOOR,0 days 05:09:00,121 D,5.15,200
HE32-322000-01-1 (R0002) / LUBRICATE NOSE LANDING GEAR AND DOORS,0 days 02:06:00,121 D,2.1,200
REPLACE 3552AAADAACXCD/P11070418 (CYLINDER ASSY-OXYGEN PORTABLE),0 days 00:24:00,,0.4,200
HE32-383200-01-1 (R0003) / CLEAN FILTER ELEMENT OF WASHBASIN DRAIN VALVES,0 days 01:18:00,1'500,1.3,200
"HE32-253400-01-1 (R0004) / CLEAN ""CHILLED AIR IN"" AND ""CHILLED AIR OUT"" GRILLES/FILTERS IN GALLEY CABINET",0 days 00:35:00,1'500,0.5833333333333334,200
HE32-253400-02-1 (R0003) / CLEAN AIR CHILLER CONDENSER AIR FILTER,0 days 00:12:00,1'500,0.2,200
"HE32-290000-05-1 (R0004) / CHECK CLOGGING INDICATORS ON RETURN, CASE DRAIN, GROUND SERVICING, HP DELIVERY, BLEED AIR, WA",0 days 02:54:00,2'000,2.9,200
HE32-383200-01-1 (R0003) / CLEAN FILTER ELEMENT OF WASHBASIN DRAIN VALVES,0 days 01:18:00,1'500,1.3,200
REPLACE 3552AAADAACXCD/P16071498 (CYLINDER ASSY-OXYGEN PORTABLE),0 days 00:24:00,,0.4,200
REPLACE MK-HKG-02/EMK-057 (MEDICAL KIT),0 days 00:05:00,,0.08333333333333333,200
REPLACE MK-HKG-02/EMK-150 (MEDICAL KIT),0 days 00:05:00,,0.08333333333333333,200
REPLACE MK-HKG-02/EMK-155 (MEDICAL KIT),0 days 00:05:00,,0.08333333333333333,200
REPLACE 33600005-3/A3487D1/W282816 (APU FIRE EXTINGUISHER),0 days 01:48:00,,1.8,200
REPLACE 33600105-4/A3095D1/W282818 (ENGINE FIRE EXTINGUISHER),0 days 03:06:00,,3.1,200
REPLACE 33600105-4/A3586D1/W282649 (ENGINE FIRE EXTINGUISHER),0 days 03:06:00,,3.1,200
REPLACE 33600105-4/A3592D1/W282821 (ENGINE FIRE EXTINGUISHER),0 days 03:06:00,,3.1,200
REPLACE 33600105-4/A3633D1/W282819 (ENGINE FIRE EXTINGUISHER),0 days 03:06:00,,3.1,200
REPLACE 34600017/44763F1 (CARGO FIRE EXTINGUISHER),0 days 02:24:00,,2.4,200
REPLACE RCF6717/23593 (PRESSURE REGULATOR TRANSMITTER),0 days 02:00:00,,2.0,200
REPLACE RCF6717/23594 (PRESSURE REGULATOR TRANSMITTER),0 days 02:00:00,,2.0,200
HE32-262441-01-1 (R0004) / CHECK OF THE PRESSURE GAUGE READING OF PORTABLE FIRE EXTINGUISHERS WITH PRESSURE GAUGE IS INS,0 days 00:24:00,2'000,0.4,200
"HE32-525111-06-2 (R0002) / FUNCTIONAL CHECK OF THE CORRECT ADJUSTMENT OF THE COCKPIT DOOR, ELECTRICAL RELEASE STRIKES AN",0 days 01:15:00,182 D,1.25,200
EO-PW-72-0152/INSPECTION OF THE AIR SEALASSEMBLIES THROUGH THE MAIN GEARBOXHOUSING B,0 days 04:00:00,1'875,4.0,200
HE32-262441-01-1 (R0004) / CHECK OF THE PRESSURE GAUGE READING OF PORTABLE FIRE EXTINGUISHERS WITH PRESSURE GAUGE IS INS,0 days 00:24:00,2'000,0.4,200
REPLACE D31865-111/M14395 (SLIDE-OFF-WING),0 days 02:30:00,,2.5,200
EO-VSB-26-0001/FIRE EXTINGUISHER – INSPECTION FOR HIGH TEMPERATURE,0 days 00:30:00,365 D,0.5,200
EO-VSB-26-0001/FIRE EXTINGUISHER – INSPECTION FOR HIGH TEMPERATURE,0 days 00:30:00,365 D,0.5,200
EO-VSB-26-0001/FIRE EXTINGUISHER – INSPECTION FOR HIGH TEMPERATURE,0 days 00:30:00,365 D,0.5,200
EO-VSB-26-0001/FIRE EXTINGUISHER – INSPECTION FOR HIGH TEMPERATURE,0 days 00:30:00,365 D,0.5,200
EOA32-32-0045/CLEAN THE ELECTRICAL CONNECTOR OF MLG DOOR-UPLOCK PROXIMITY-SENSORS (2,0 days 02:00:00,3'000,2.0,200
HE32-242000-25-1 (R0001) / OPERATIONAL CHECK OF NETWORK RECONFIGURATION IN CASE OF SINGLE GENERATOR FAILURE,0 days 03:00:00,3'000,3.0,200
HE32-292000-05-1 (R0003) / OPERATIONAL CHECK OF RAM AIR TURBINE (RAT) AUTOMATIC DEPLOYMENT,0 days 01:14:00,4'000,1.2333333333333334,200
EO-AOT-A57N025-25/W1693874 /WING - PYLON SPIGOT FITTING - SLEEVE MIGRATION INSPECTION,0 days 03:30:00,365 D,3.5,200
EO-AOT-A57N025-25/W1693875 /WING - PYLON SPIGOT FITTING - SLEEVE MIGRATION INSPECTION,0 days 03:30:00,365 D,3.5,200
EO-AOT-A57N025-25/W1693876 /WING - PYLON SPIGOT FITTING - SLEEVE MIGRATION INSPECTION,0 days 03:30:00,365 D,3.5,200
EOI-72-0001/ANTI-IFSD KEY INSPECTION POINTS OF PW1100G ENGINE,0 days 04:00:00,1'500,4.0,200
"HE32-291000-23-1 (R0001) / DETAILED INSPECTION OF THE PYLON / ENGINE INTERFACE ROD ENDS, ROD ATTACHMENT FITTINGS, INTERF",0 days 04:04:00,2'500,4.066666666666666,200
"HE32-291000-24-1 (R0001) / DETAILED INSPECTION OF THE PYLON / ENGINE INTERFACE ROD ENDS, ROD ATTACHMENT FITTINGS, INTERF",0 days 04:04:00,2'500,4.066666666666666,200
HE32-291000-18-1 (R0003) / DRAIN THE RECOVERY TANK,0 days 01:06:00,1'500,1.1,200
HE32-291000-18-1 (R0003) / DRAIN THE RECOVERY TANK,0 days 01:06:00,1'500,1.1,200
HE32-470000-01-1 (R0004) / REPLACE D-ULPA FILTER ELEMENT,0 days 02:12:00,7'000,2.2,200
REPLACE 3214-31/960937/W1693611 (EPSU BATTERY),0 days 01:30:00,,1.5,200
EO-A320-25-1BVT/INSPECTION OF GALLEY 4X FOR CORROSION OF TROLLEY RETAINER ALUMINIUM,0 days 01:00:00,182 D,1.0,200
HE32-261300-01-1 (R0003) / OPERATIONAL TEST OF THE APU FIRE AND OVERHEAT DETECTION SYSTEM,0 days 00:18:00,2'000,0.3,200
HE32-261600-03-1 (R0003) / OPERATIONAL CHECK OF CARGO COMPARTMENT SMOKE DETECTION BY PTT,0 days 00:36:00,2'000,0.6,200
HE32-276400-01-1-01 (R0003) / LUBRICATE LH SPOILER NO 1 TO 5 ACTUATOR ATTACHMENTS,0 days 02:24:00,2'000,2.4,200
HE32-331400-01-1 (R0003) / OPERATIONAL CHECK OF THE LIGHT TEST SYSTEM,0 days 00:34:00,2'000,0.5666666666666667,200
HE32-344200-03-1 (R0002) / CLEAN THE EXTERNAL SURFACE OF THE RADIO ALTIMETER ANTENNAS,0 days 00:30:00,182 D,0.5,200
HE32-281100-05-1 (R0002) / GENERAL VISUAL INSPECTION OF FUEL TANKS FOR MINOR EXTERNAL LEAKS,0 days 00:24:00,182 D,0.4,200
HE32-344200-03-1 (R0002) / CLEAN THE EXTERNAL SURFACE OF THE RADIO ALTIMETER ANTENNAS,0 days 00:30:00,182 D,0.5,200
HE32-31-SCME-010 (R0005) / READOUT PROCEDURE FOR RECORDING INSPECTION OF FDR SYSTEM,0 days 01:10:00,365 D,1.1666666666666667,200
HE32-261300-01-1 (R0003) / OPERATIONAL TEST OF THE APU FIRE AND OVERHEAT DETECTION SYSTEM,0 days 00:18:00,2'000,0.3,200
HE32-261600-03-1 (R0003) / OPERATIONAL CHECK OF CARGO COMPARTMENT SMOKE DETECTION BY PTT,0 days 00:36:00,2'000,0.6,200
HE32-274451-01-1 (R0003) / LUBRICATE THS ACTUATOR BALL SCREW NUT,0 days 00:58:00,1'600,0.9666666666666667,200
HE32-276400-01-1-01 (R0003) / LUBRICATE LH SPOILER NO 1 TO 5 ACTUATOR ATTACHMENTS,0 days 02:24:00,2'000,2.4,200
HE32-331400-01-1 (R0003) / OPERATIONAL CHECK OF THE LIGHT TEST SYSTEM,0 days 00:34:00,2'000,0.5666666666666667,200
REPLACE 3214-31/152159 (EPSU BATTERY),0 days 01:30:00,,1.5,200
REPLACE 3214-31/947202 (EPSU BATTERY),0 days 01:30:00,,1.5,200
HE32-274451-01-1 (R0003) / LUBRICATE THS ACTUATOR BALL SCREW NUT,0 days 00:58:00,1'600,0.9666666666666667,200
HE32-31-SCME-010 (R0005) / READOUT PROCEDURE FOR RECORDING INSPECTION OF FDR SYSTEM,0 days 01:10:00,365 D,1.1666666666666667,200
EOCOM-32-0324/DETAILED VISUAL INSPECTION OF NLG TORQUE LINK APEX PIN AND NUT,0 days 06:00:00,540 D,6.0,200
HE32-212600-01-1 (R0003) / OPERATIONAL CHECK OF THE AVIONICS EQUIPMENT VENTILATION-SYSTEM VIA MCDU,0 days 00:42:00,3'000,0.7,200
HE32-212643-07-1 (R0002) / DISCARD THE FILTER CARTRIDGE,0 days 00:46:00,3'000,0.7666666666666667,200
HE32-212643-09-1 (R0004) / OPERATIONAL CHECK OF NRV FOR FREE MOVEMENT,0 days 00:52:00,3'000,0.8666666666666667,200
HE32-212643-10-1 (R0004) / CLEAN THE SYPHON ASSEMBLY (STRAINER),0 days 00:40:00,3'000,0.6666666666666666,200
HE32-261700-03-1 (R0003) / OPERATIONAL CHECK OF LAVATORY SMOKE DETECTION BY CFDS TO CONFIRM WARNINGS CAN BE DISPLAYED,0 days 00:12:00,3'000,0.2,200
HE32-262200-02-1 (R0004) / OPERATIONAL CHECK OF AUTOMATIC FIRE EXTINGUISHING CIRCUIT AND TEST APU LP FUEL VALVE OPERATIO,0 days 00:18:00,3'000,0.3,200
HE32-276400-01-1-02 (R0003) / LUBRICATE SPOILER NO 1 TO 5 ACTUATOR ATTACHMENTS - RH,0 days 02:24:00,2'000,2.4,200
HE32-281200-01-1-01 (R0003) / VISUAL CHECK OF LH VENT SURGE TANK BURST DISC (EXTERNAL),0 days 00:36:00,2'000,0.6,200
HE32-281200-01-1-02 (R0003) / VISUAL CHECK OF RH VENT SURGE TANK BURST DISC (EXTERNAL),0 days 00:36:00,2'000,0.6,200
REPLACE 3552AAADAACXCD/P11080290 (CYLINDER ASSY-OXYGEN PORTABLE),0 days 00:24:00,,0.4,200
EOA32-32-0045/CLEAN THE ELECTRICAL CONNECTOR OF MLG DOOR-UPLOCK PROXIMITY-SENSORS (2,0 days 02:00:00,3'000,2.0,200
HE32-281200-01-1-01 (R0003) / VISUAL CHECK OF LH VENT SURGE TANK BURST DISC (EXTERNAL),0 days 00:36:00,2'000,0.6,200
HE32-281200-01-1-02 (R0003) / VISUAL CHECK OF RH VENT SURGE TANK BURST DISC (EXTERNAL),0 days 00:36:00,2'000,0.6,200
EO-PW-73-0020/REPETITIVE REPLACEMENT OF THE MAIN FUEL FILTER (PW1100G),0 days 04:00:00,1'700,4.0,200
HE32-281100-06-1 (R0002) / OPERATIONAL CHECK OF WATER DRAIN VALVES,0 days 00:44:00,182 D,0.7333333333333333,200
REPLACE 34600017/44872F1 (CARGO FIRE EXTINGUISHER),0 days 02:24:00,,2.4,200
HE32-470000-01-1 (R0004) / REPLACE D-ULPA FILTER ELEMENT,0 days 02:12:00,7'000,2.2,200
REPLACE 15-40F80/76004030 (PBE),0 days 00:24:00,,0.4,200
REPLACE 15-40F80/76004053 (PBE),0 days 00:24:00,,0.4,200
REPLACE 15-40F80/76004059 (PBE),0 days 00:24:00,,0.4,200
REPLACE 30903827/2374UD/W282811 (CARTRIDGE),0 days 00:30:00,,0.5,200
REPLACE 30903886/2050UD/W1588741 (CARTRIDGE),0 days 02:12:00,,2.2,200
REPLACE 30903886/2122UD/W1588758 (CARTRIDGE),0 days 02:12:00,,2.2,200
"REPLACE D30665-709/L25656 (RAFT-SLIDE,AFT)",0 days 03:00:00,,3.0,200
EO-PW-72-0152/INSPECTION OF THE AIR SEALASSEMBLIES THROUGH THE MAIN GEARBOXHOUSING B,0 days 04:00:00,1'875,4.0,200
"HE32-353000-01-1 (R0003) / CHECK OF CONNECTING HOSE, MASK AND PRESSURE ON CYLINDER PRESSURE GAUGE",0 days 00:42:00,182 D,0.7,200
HE32-353000-05-1 (R0003) / VISUAL CHECK OF THE TAMPER SEAL/SERVICEABILITY INDICATION OF THE PROTECTIVE BREATHING EQUIPME,0 days 00:30:00,182 D,0.5,200
"HE32-525111-06-2 (R0002) / FUNCTIONAL CHECK OF THE CORRECT ADJUSTMENT OF THE COCKPIT DOOR, ELECTRICAL RELEASE STRIKES AN",0 days 01:15:00,182 D,1.25,200
EOCOM-72-0225/VISUAL INSPECTION OF FAN BLADE COVER TRANSITION AREA (PW1100G-JM),0 days 01:30:00,1'000,1.5,200
HE32-262441-01-1 (R0004) / CHECK OF THE PRESSURE GAUGE READING OF PORTABLE FIRE EXTINGUISHERS WITH PRESSURE GAUGE IS INS,0 days 00:24:00,2'000,0.4,200
EO-A320-25-1BVT/INSPECTION OF GALLEY 4X FOR CORROSION OF TROLLEY RETAINER ALUMINIUM,0 days 01:00:00,182 D,1.0,200
EOA32-32-0045/CLEAN THE ELECTRICAL CONNECTOR OF MLG DOOR-UPLOCK PROXIMITY-SENSORS (2,0 days 02:00:00,3'000,2.0,200
HE32-242000-25-1 (R0001) / OPERATIONAL CHECK OF NETWORK RECONFIGURATION IN CASE OF SINGLE GENERATOR FAILURE,0 days 03:00:00,3'000,3.0,200
"HE32-353000-01-1 (R0003) / CHECK OF CONNECTING HOSE, MASK AND PRESSURE ON CYLINDER PRESSURE GAUGE",0 days 00:42:00,182 D,0.7,200
HE32-353000-05-1 (R0003) / VISUAL CHECK OF THE TAMPER SEAL/SERVICEABILITY INDICATION OF THE PROTECTIVE BREATHING EQUIPME,0 days 00:30:00,182 D,0.5,200
HE32-ZL-147-02-1 (R0002) / GENERAL VISUAL INSPECTION OF MLG-WELL AND HYDRAULIC COMPARTMENT (EWIS),0 days 00:56:00,365 D,0.9333333333333333,200
HE32-ZL-711-01-1 (R0002) / GENERAL VISUAL INSPECTION OF NOSE GEAR AND NOSE GEAR DOORS (EWIS),0 days 00:34:00,365 D,0.5666666666666667,200
HE32-ZL-731-01-1 (R0002) / GENERAL VISUAL INSPECTION OF LH/RH MAIN LANDING GEAR INCLUDING CYLINDER AND SECONDARY DOORS (,0 days 00:49:00,365 D,0.8166666666666667,200
HE32-292000-05-1 (R0003) / OPERATIONAL CHECK OF RAM AIR TURBINE (RAT) AUTOMATIC DEPLOYMENT,0 days 01:14:00,4'000,1.2333333333333334,200
EOCOM-72-0225/VISUAL INSPECTION OF FAN BLADE COVER TRANSITION AREA (PW1100G-JM),0 days 01:30:00,1'000,1.5,200
HE32-344200-03-1 (R0002) / CLEAN THE EXTERNAL SURFACE OF THE RADIO ALTIMETER ANTENNAS,0 days 00:30:00,182 D,0.5,200
EOCOM-32-0324/DETAILED VISUAL INSPECTION OF NLG TORQUE LINK APEX PIN AND NUT,0 days 06:00:00,540 D,6.0,200
HE32-344200-01-1 (R0004) / OPERATIONAL CHECK AND DETAILED INSPECTION FOR CONTAMINATION OF RADIO ALTIMETER FAN,0 days 01:38:00,4'000,1.6333333333333333,200
HE32-281100-05-1 (R0002) / GENERAL VISUAL INSPECTION OF FUEL TANKS FOR MINOR EXTERNAL LEAKS,0 days 00:24:00,182 D,0.4,200
HE32-281100-06-1 (R0002) / OPERATIONAL CHECK OF WATER DRAIN VALVES,0 days 00:44:00,182 D,0.7333333333333333,200
